id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
1,2023-08-01,3,2,1500,5000,1,3,7,1300,200,1995,0,98001,47.12345,-122.45678,1600,5500,300000
2,2023-08-02,4,3,2000,6000,2,4,8,1800,200,2000,0,98002,47.23456,-122.56789,2200,6000,400000
3,2023-08-03,4,3,2500,6500,2,4,8,1900,200,2500,0,98002,47.23456,-132.56789,2300,6500,415000
3,2023-08-03,2,1,1000,3000,1,2,6,800,200,1980,0,98003,47.34567,-122.6789,1100,3500,250000
4,2023-08-04,3,2,1600,5500,1,3,7,1400,200,1998,0,98004,47.45678,-122.78901,1700,6000,500000
5,2023-08-05,4,3,2200,7000,2,4,8,2000,200,2005,0,98005,47.56789,-122.89012,2300,7500,600000
6,2023-08-06,3,2,1800,6500,1,3,7,1600,200,1985,0,98006,47.6789,-122.90123,1900,7000,450000
7,2023-08-07,2,1,1200,4000,1,3,6,900,300,1960,2005,98007,47.78901,-122.01234,1300,4500,320000
8,2023-08-08,3,2,1700,6000,1,4,7,1400,300,1992,0,98008,47.89012,-122.12345,1800,5500,380000
9,2023-08-09,4,3,2400,8000,2,3,8,2000,400,2000,2020,98009,47.90123,-122.23456,2200,7500,550000
10,2023-08-10,3,2,1900,6500,1,4,7,1600,300,1988,0,98010,47.01234,-122.34567,2000,6000,420000
11,2023-08-11,5,4,3200,10000,2,5,9,2800,400,2010,0,98011,47.12345,-122.45678,3000,9000,700000
12,2023-08-12,2,1,1100,3500,1,3,6,900,200,1955,2002,98012,47.23456,-122.56789,1200,4000,280000
13,2023-08-13,4,3,2100,7000,2,4,8,1800,300,1997,0,98013,47.34567,-122.6789,2200,7000,480000
14,2023-08-14,3,2,1800,6000,1,4,7,1500,300,1989,2015,98014,47.45678,-122.78901,1900,6000,390000
15,2023-08-15,2,1,1300,4500,1,3,6,1000,300,1965,0,98015,47.56789,-122.89012,1400,5000,300000
16,2023-08-16,3,2,1700,5500,2,3,7,1400,300,1990,0,98016,47.6789,-122.90123,1800,5500,360000
17,2023-08-17,4,3,2300,7500,1,4,8,1900,400,2003,0,98017,47.78901,-122.01234,2200,7000,500000
18,2023-08-18,3,2,2000,6800,2,4,7,1700,300,2001,0,98018,47.89012,-122.12345,2100,7500,410000
19,2023-08-19,3,2,1600,5000,1,3,7,1300,300,1987,0,98019,47.90123,-122.23456,1700,6000,330000
20,2023-08-20,2,1,1200,4000,1,3,6,1000,200,1950,0,98020,47.01234,-122.34567,1300,4500,270000
